Game,GameDate,PlayerID,GroupID,Level,Order,Track,Car,Body,Engine,Tire,Finished,FinishTime,TopSpeedReached,TimeTo30,TimeTo60,TimeTo100,CheckPoint1,CheckPoint2,CheckPoint3,TimeOnTrack,TimeOffTrack,Mass,Drag,Traction,FullTorqueOverAllWheel,TopSpeed,TireRadius
1348,8/27/2019 12:09,jacko,geog391,Paired,1,StraightTrack,7,Bayes,Gauss,Bayes,1,18.22,72.84,5.99,12.92,-1,9.14,12.81,15.86,18.22,0,1500,0.1,1,2500,150,0.4
1434,8/27/2019 12:14,jacko,geog391,Paired,2,StraightTrack,1,Bayes,Bayes,Bayes,1,24.82,45.72,7.72,-1,-1,9.14,12.81,15.86,24.82,0,1500,0.15,1,2500,150,0.4
1287,8/27/2019 12:04,janisrae,geog391,Paired,1,StraightTrack,1,Bayes,Bayes,Bayes,1,25.02,50.23,9.7,-1,-1,12.43,17.05,21.49,25.02,0,1500,0.15,1,2500,150,0.4
1335,8/27/2019 12:08,janisrae,geog391,Paired,2,StraightTrack,7,Bayes,Gauss,Bayes,1,19.37,72.72,7.13,14.09,-1,10.52,14.77,18.49,19.37,0,1500,0.1,1,2500,150,0.4
1365,8/27/2019 12:10,janisrae,geog391,CreateCar,3,StraightTrack,25,Gauss,Gauss,Bayes,1,16.14,92.78,5.36,9.88,-1,10.52,14.77,18.49,16.14,0,1500,0.05,1,2500,150,0.4
1426,8/27/2019 12:13,janisrae,geog391,CreateCar,4,StraightTrack,19,Gauss,Bayes,Bayes,1,19.47,64.84,6.43,16.49,-1,10.52,14.77,18.49,19.47,0,1500,0.1,1,2150,150,0.4
1285,8/27/2019 12:03,jtpau,geog391,Paired,1,StraightTrack,1,Bayes,Bayes,Bayes,1,25.75,53.26,11.16,-1,-1,14.37,18.59,22.48,25.75,0,1500,0.15,1,2500,150,0.4
1306,8/27/2019 12:05,jtpau,geog391,CreateCar,2,StraightTrack,25,Gauss,Gauss,Bayes,1,16.82,92.91,6.04,10.54,-1,14.37,18.59,22.48,16.82,0,1500,0.05,1,2500,150,0.4
1446,8/27/2019 17:10,jtpau,geog391,Paired,3,StraightTrack,7,Bayes,Gauss,Bayes,1,17.99,72.66,5.76,12.69,-1,14.37,18.59,22.48,17.99,0,1500,0.1,1,2500,150,0.4
1448,8/27/2019 17:12,jtpau,geog391,CreateCar,4,StraightTrack,19,Gauss,Bayes,Bayes,1,19.52,64.81,6.48,16.57,-1,14.37,18.59,22.48,19.52,0,1500,0.1,1,2150,150,0.4
1368,8/27/2019 12:10,langston,geog391,Paired,1,StraightTrack,1,Bayes,Bayes,Bayes,1,20.87,56.77,6.89,-1,-1,14.79,26.32,38.14,20.87,0,1500,0.15,1,2500,150,0.4
